ghi,ghi90,ghi10,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,PeriodStart,period
801,801,795,730,1018,996,1018,71,22,44,-133,0,2024-04-12T10:30:00Z,PT30M
854,854,854,782,1027,1027,1027,73,23,40,-142,0,2024-04-12T11:00:00Z,PT30M
894,894,894,820,1034,1034,1034,74,23,37,-153,0,2024-04-12T11:30:00Z,PT30M
919,919,919,844,1037,1037,1037,75,23,36,-165,0,2024-04-12T12:00:00Z,PT30M
929,929,929,853,1038,1038,1038,75,23,35,-178,0,2024-04-12T12:30:00Z,PT30M
923,923,923,848,1036,1036,1036,75,24,35,169,0,2024-04-12T13:00:00Z,PT30M
901,901,901,827,1031,1031,1031,75,23,37,157,0,2024-04-12T13:30:00Z,PT30M
865,865,864,790,1021,1019,1021,75,23,39,146,0,2024-04-12T14:00:00Z,PT30M
815,815,799,741,1010,959,1010,73,23,43,136,0,2024-04-12T14:30:00Z,PT30M
752,752,721,680,995,890,995,71,23,47,127,0,2024-04-12T15:00:00Z,PT30M
676,676,630,608,976,802,976,68,23,51,119,0,2024-04-12T15:30:00Z,PT30M
591,591,535,526,950,720,950,65,22,56,112,0,2024-04-12T16:00:00Z,PT30M
497,497,435,437,916,626,916,60,22,62,106,0,2024-04-12T16:30:00Z,PT30M
397,397,337,342,869,540,869,55,21,67,100,0,2024-04-12T17:00:00Z,PT30M
294,294,248,246,803,483,803,49,20,72,95,0,2024-04-12T17:30:00Z,PT30M
191,191,158,151,704,387,704,40,19,78,90,0,2024-04-12T18:00:00Z,PT30M
94,94,76,66,535,242,535,28,18,83,85,0,2024-04-12T18:30:00Z,PT30M
18,18,14,9,107,34,107,9,16,89,79,0,2024-04-12T19:00:00Z,PT30M
0,0,0,0,0,0,0,0,15,94,74,0,2024-04-12T19:30:00Z,PT30M
0,0,0,0,0,0,0,0,15,99,69,0,2024-04-12T20:00:00Z,PT30M
0,0,0,0,0,0,0,0,15,104,63,0,2024-04-12T20:30:00Z,PT30M
0,0,0,0,0,0,0,0,14,109,57,0,2024-04-12T21:00:00Z,PT30M
0,0,0,0,0,0,0,0,14,113,51,0,2024-04-12T21:30:00Z,PT30M
0,0,0,0,0,0,0,0,14,117,44,0,2024-04-12T22:00:00Z,PT30M
0,0,0,0,0,0,0,0,14,121,37,6,2024-04-12T22:30:00Z,PT30M
0,0,0,0,0,0,0,0,14,124,29,7,2024-04-12T23:00:00Z,PT30M
0,0,0,0,0,0,0,0,14,126,20,8,2024-04-12T23:30:00Z,PT30M
0,0,0,0,0,0,0,0,14,128,2,8,2024-04-13T00:30:00Z,PT30M
0,0,0,0,0,0,0,0,14,128,-8,6,2024-04-13T01:00:00Z,PT30M
0,0,0,0,0,0,0,0,14,126,-17,6,2024-04-13T01:30:00Z,PT30M
0,0,0,0,0,0,0,0,14,124,-26,7,2024-04-13T02:00:00Z,PT30M
0,0,0,0,0,0,0,0,14,122,-34,7,2024-04-13T02:30:00Z,PT30M
0,0,0,0,0,0,0,0,14,118,-42,7,2024-04-13T03:00:00Z,PT30M
0,0,0,0,0,0,0,0,14,115,-49,7,2024-04-13T03:30:00Z,PT30M
0,0,0,0,0,0,0,0,14,110,-55,7,2024-04-13T04:00:00Z,PT30M
0,0,0,0,0,0,0,0,14,106,-61,8,2024-04-13T04:30:00Z,PT30M
0,0,0,0,0,0,0,0,14,101,-67,9,2024-04-13T05:00:00Z,PT30M
0,0,0,0,0,0,0,0,14,96,-72,9,2024-04-13T05:30:00Z,PT30M
5,6,4,2,19,0,31,4,14,90,-78,9,2024-04-13T06:00:00Z,PT30M
62,68,43,34,323,49,442,28,14,85,-83,9,2024-04-13T06:30:00Z,PT30M
156,162,103,113,604,130,684,42,15,79,-88,4,2024-04-13T07:00:00Z,PT30M
264,264,167,219,789,167,795,45,16,74,-93,0,2024-04-13T07:30:00Z,PT30M
357,368,232,292,796,192,867,65,18,68,-98,3,2024-04-13T08:00:00Z,PT30M
455,470,302,379,837,228,916,75,19,63,-104,3,2024-04-13T08:30:00Z,PT30M
564,565,380,502,944,285,951,62,20,58,-110,0,2024-04-13T09:00:00Z,PT30M
652,652,455,589,975,334,975,64,20,53,-117,0,2024-04-13T09:30:00Z,PT30M
730,730,523,662,992,374,992,68,21,48,-124,0,2024-04-13T10:00:00Z,PT30M
796,796,579,725,1005,400,1005,71,21,44,-132,0,2024-04-13T10:30:00Z,PT30M
849,849,617,776,1015,405,1015,72,22,40,-142,0,2024-04-13T11:00:00Z,PT30M
888,888,652,813,1020,419,1020,74,22,37,-153,0,2024-04-13T11:30:00Z,PT30M
912,912,682,836,1022,445,1022,76,22,35,-165,0,2024-04-13T12:00:00Z,PT30M
921,921,689,844,1022,446,1022,77,22,34,-178,0,2024-04-13T12:30:00Z,PT30M
916,916,672,839,1021,419,1021,77,22,35,169,0,2024-04-13T13:00:00Z,PT30M
